CTB_RS00165	CTB_RS00165	
CTB_RS00165	CTL2C_RS01530	
CTB_RS00165	CBP42_RS01560	
CTB_RS00165	L1224_RS00165	
CTB_RS00165	BKB96_RS00170	
CTB_RS00165	BKB99_RS00170	
CTB_RS00165	CTO_RS00165	
CTB_RS00165	SOTONIA3_RS00165	
CTB_RS00165	L1440_RS00165	
CTB_RS00165	BKB92_RS00170	
CTB_RS00165	119233	
CTB_RS00165	CBP44_RS01565	
CTB_RS00165	E150_RS00165	
CTB_RS00165	L2BUCH2_RS00165	
CTB_RS00165	BKB93_RS00170	
CTB_RS00165	FCS84708_RS00165	
CTB_RS00165	AP288_RS03235	
CTB_RS00165	BBV13_RS00170	
CTB_RS00165	G9768_RS00165	
CTB_RS00165	AOT15_RS00790	
CTB_RS00165	AQ199_RS00860	
CTB_RS00165	BW688_RS01560	
CTB_RS00165	L2BLST_RS00165	
CTB_RS00165	BKC02_RS00170	
CTB_RS00165	BBV16_RS00170	
CTB_RS00165	BKC01_RS00170	
CTB_RS00165	gnl|Prokka|PADJNBJD_00034	
CTB_RS00165	LJHENM_00170	
CTB_RS00165	A5291_RS00165	
CTB_RS00165	SOTONK1_RS00165	
CTB_RS00165	JIEJKO_00165	
CTB_RS00165	7618373	
CTB_RS00165	NILJEPDF_00034	
CTB_RS00165	L3404_RS00165	
CTB_RS00165	IaCS19096_RS00165	
CTB_RS00165	AKW53_RS01655	
CTB_RS00165	BKC03_RS00170	
CTB_RS00165	C15_RS0100165	
CTB_RS00165	QSDFRQ_00034	
CTB_RS00165	CTJTET1_RS00165	
CTB_RS00165	DU10_RS00170	
CTB_RS00165	CTRC943_RS00165	
CTB_RS00165	O169_RS00165	
CTB_RS00165	CBP48_RS01560	
CTB_RS00165	ECS88FINAL_RS0100170	
CTB_RS00165	DU13_RS00170	
CTB_RS00165	KW39_RS00165	
CTB_RS00165	KW36_RS00165	
CTB_RS00165	BKB95_RS00170	
CTB_RS00165	SW2_RS00165	
CTB_RS00165	AQ193_RS03840	
CTB_RS00165	ECS102511_RS00165	
CTB_RS00165	AQ244_RS01825	
CTB_RS00670	CTB_RS00670	
CTB_RS00670	AQ193_RS03330	
